红荷直播源更新2026,#genre#
CCTV5,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000322
CCTV6,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000392
CCTV7,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000358
CCTV8,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000393
CCTV9,http://111.48.34.138/000000001000PLTV/88888888/224/3221230330/1.m3u8
CCTV10,http://111.48.34.138/000000001000PLTV/88888888/224/3221229712/1.m3u8
CCTV11,http://111.48.34.138/000000001000PLTV/88888888/224/3221229968/1.m3u8
CCTV12,http://111.48.34.138/000000001000PLTV/88888888/224/3221230363/1.m3u8
CCTV13,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000514
CCTV14,http://111.48.34.138/000000001000PLTV/88888888/224/3221229681/1.m3u8
CCTV15,http://111.48.34.138/000000001000PLTV/88888888/224/3221229901/1.m3u8
湖北卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000194
CCTV17,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000580
CGTN,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000127
中国教育,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000342
湖北公共新闻,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444582
湖北教育,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000519
东方卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000198
湖南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000174
宁夏卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000060
浙江卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000195
北京卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000173
江苏卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000177
辽宁卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000326
安徽卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000325
山东卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000324
广东卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000197
广西卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000515
海南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000442
重庆卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000418
东南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000346
江西卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000396
河南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000463
天津卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000323
四川卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000464
吉林卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000528
新疆卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000075
山西卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000077
云南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000038
贵州卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000419
深圳卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000176
西藏卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000078
内蒙古卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000148
青海卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000074
河北卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000447
甘肃卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000072
黑龙江卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000175
陕西卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000068
兵团卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000516
CCTV1,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000131
CCTV2,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000357
CCTV3,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000211
CCTV4,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000409
CCTV5,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000322
CCTV5+,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000503
CCTV6,http://39.135.253.20/PLTV/88888888/224/3221230154/index.m3u8
CCTV7,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000358
CCTV8,http://39.135.253.11/PLTV/88888888/224/3221230169/index.m3u8
CCTV9,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000359
CCTV10,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000360
CCTV11,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000583
CCTV12,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000361
CCTV14,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000362
CCTV15,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000587
湖北公共,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444582
湖北卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000194
湖南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000174
东方卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000198
北京卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000173
江苏卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000177
浙江卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000195
广东卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000197
深圳卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000176
黑龙江卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000175
天津卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000323
山东卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000324
安徽卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000325
辽宁卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000326
东南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000346
江西卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000396
重庆卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000418
贵州卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000419
金鹰纪实,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000343
河南卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/9918000100000005000000000000046
垄上,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444600
湖北经视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444588
湖北综合,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444593
湖北影视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000168
湖北生活,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000169
武汉新闻,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000429
武汉电视剧,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000430
武汉生活,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000363
武汉经济,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000364
武汉文体,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000431
武汉外语,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000366
武汉少儿,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000367
广通购物,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000368
武汉教育,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000369
湖北经视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000165
湖北综合,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000164
四川卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000464
河北卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000447
三沙卫视,http://58.19.133.216:9901rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000589
CCTV1,http://192.168.66.215:8008/paiptv/cctv1.m3u8
CCTV2,http://192.168.66.215:8008/paiptv/cctv2.m3u8
CCTV3,http://192.168.66.215:8008/paiptv/cctv3.m3u8
CCTV4,http://192.168.66.215:8008/paiptv/cctv4.m3u8
CCTV5,http://192.168.66.215:8008/paiptv/cctv5.m3u8
CCTV6,http://192.168.66.215:8008/paiptv/cctv6.m3u8
CCTV7,http://192.168.66.215:8008/paiptv/cctv7.m3u8
CCTV8,http://192.168.66.215:8008/paiptv/cctv8.m3u8
CCTV1,http://113.195.162.70:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://113.195.162.70:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://113.195.162.70:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://113.195.162.70:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://113.195.162.70:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://113.195.162.70:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://113.195.162.70:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://113.195.162.70:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://113.195.162.70:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://113.195.162.70:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://113.195.162.70:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://113.195.162.70:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://113.195.162.70:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://113.195.162.70:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://113.195.162.70:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CETV,http://113.195.162.70:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://113.195.162.70:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
江西都市,http://113.195.162.70:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
江西经济生活,http://113.195.162.70:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
影视旅游,http://113.195.162.70:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
公共农业,http://113.195.162.70:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
江西少儿,http://113.195.162.70:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
江西新闻,http://113.195.162.70:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
中国教育电视台第四,http://113.195.162.70:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
江西教育,http://113.195.162.70:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://113.195.162.70:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://113.195.162.70:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://113.195.162.70:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://113.195.162.70:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://113.195.162.70:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://113.195.162.70:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://113.195.162.70:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://113.195.162.70:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://113.195.162.70:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
江西少儿,http://113.195.162.70:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://113.195.162.70:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://113.195.162.70:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://113.195.162.70:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
旅游卫视,http://113.195.162.70:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://113.195.162.70:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://113.195.162.70:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://113.195.162.70:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://113.195.162.70:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://113.195.162.70:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://113.195.162.70:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://113.195.162.70:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://113.195.162.70:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://113.195.162.70:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://113.195.162.70:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://113.195.162.70:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://113.195.162.70:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://113.195.162.70:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://113.195.162.70:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://113.195.162.70:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙卫视,http://113.195.162.70:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://113.195.162.70:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://113.195.162.70:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://113.195.162.70:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://113.195.162.70:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=0&authid=0
炫动卡通,http://113.195.162.70:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
老故事,http://113.195.162.70:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
中学生,http://113.195.162.70:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
早期教育,http://113.195.162.70:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
靓妆,http://113.195.162.70:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://113.195.162.70:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0
江西经济生活,http://113.195.162.70:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://113.201.61.98:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://113.201.61.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://113.201.61.98:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://113.201.61.98:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://113.201.61.98:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://113.201.61.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://113.201.61.98:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://113.201.61.98:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://113.201.61.98:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://113.201.61.98:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://113.201.61.98:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://113.201.61.98:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://113.201.61.98:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://113.201.61.98:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://113.201.61.98:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://113.201.61.98:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://113.201.61.98:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://113.201.61.98:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://113.201.61.98:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://113.201.61.98:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://113.201.61.98:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://113.201.61.98:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://113.201.61.98:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://113.201.61.98:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://113.201.61.98:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://113.201.61.98:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://113.201.61.98:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://113.201.61.98:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://113.201.61.98:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://113.201.61.98:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://113.201.61.98:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://113.201.61.98:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://113.201.61.98:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://113.201.61.98:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://113.201.61.98:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://113.201.61.98:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://113.201.61.98:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://113.201.61.98:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://113.201.61.98:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://113.201.61.98:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://113.201.61.98:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://113.201.61.98:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV2,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV3,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8
CCTV4,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV5,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV5+,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV6,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8
CCTV7,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV8,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
CCTV9,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV10,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV11,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
